========================================================
Contrast_x,y,z=2  5  10
Get kvals from python.
524288  1.31072e+06  2.62144e+06  2.62144e+06  2.62144e+06  2621.44  26214.4  262144  262144  262144  2621.44  6553.6  13107.2  13107.2  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=108,	residual=3.954224e+06,	 rhs=6.710937e+10, relative=5.892209e-05.
  itrIdx=109,	residual=5.393865e+06,	 rhs=6.710937e+10, relative=8.037425e-05.
  itrIdx=110,	residual=6.282070e+06,	 rhs=6.710937e+10, relative=9.360944e-05.
  itrIdx=111,	residual=6.568268e+06,	 rhs=6.710937e+10, relative=9.787409e-05.
  itrIdx=112,	residual=5.099693e+06,	 rhs=6.710937e+10, relative=7.599078e-05.
  itrIdx=113,	residual=3.710149e+06,	 rhs=6.710937e+10, relative=5.528511e-05.
  itrIdx=114,	residual=2.919664e+06,	 rhs=6.710937e+10, relative=4.350605e-05.
  itrIdx=115,	residual=2.805729e+06,	 rhs=6.710937e+10, relative=4.180830e-05.
  itrIdx=116,	residual=2.492987e+06,	 rhs=6.710937e+10, relative=3.714813e-05.
  itrIdx=117,	residual=2.344678e+06,	 rhs=6.710937e+10, relative=3.493816e-05.
  itrIdx=118,	residual=2.231256e+06,	 rhs=6.710937e+10, relative=3.324806e-05.
